Designator,Mid X,Mid Y,Rotation,Layer
C1,116.532619,-89.24958,270.0,top
C10,181.279968,-107.24958,0.0,top
C11,171.932619,-107.24958,0.0,top
C12,150.532619,-89.24958,90.0,top
C13,160.532619,-89.24958,270.0,top
C14,172.532619,-89.24958,90.0,top
C15,182.532619,-89.24958,270.0,top
C16,116.032619,-97.24958,180.0,top
C17,125.032619,-97.24958,180.0,top
C2,128.532619,-89.24958,90.0,top
C3,138.532619,-89.24958,270.0,top
C4,158.214942,-107.24958,0.0,top
C5,111.532619,-97.24958,180.0,top
C6,120.532619,-97.24958,180.0,top
C7,134.532619,-107.08958,90.0,top
C8,147.532619,-107.08958,270.0,top
C9,106.532619,-89.24958,90.0,top
D1,111.532619,-85.24958,180.0,top
D2,133.532619,-85.24958,180.0,top
D3,145.532619,-107.08958,90.0,top
D4,136.532619,-107.08958,90.0,top
D5,155.532619,-85.24958,180.0,top
D6,177.532619,-85.24958,180.0,top
J1,138.032619,-56.77458,0.0,top
J2,154.782619,-56.77458,0.0,top
J3,181.182619,-114.74958,0.0,top
J4,172.08527,-114.74958,0.0,top
J5,158.082619,-117.72458,180.0,top
J6,113.75,-115.0,0.0,top
J7,127.25,-115.0,0.0,top
LDO1,141.032619,-111.58958,270.0,top
Q1,111.499316,-67.24958,90.0,top
Q2,111.499316,-78.24958,90.0,top
Q3,133.499316,-67.20958,90.0,top
Q4,133.499316,-78.24958,90.0,top
Q5,155.577619,-67.24958,90.0,top
Q6,155.577619,-78.24958,90.0,top
Q7,177.507619,-67.24958,90.0,top
Q8,177.507619,-78.24958,90.0,top
R1,102.794316,-71.74958,180.0,top
R10,127.032619,-83.74958,270.0,top
R11,116.032619,-110.74958,180.0,top
R12,136.532619,-110.58958,90.0,top
R13,146.872619,-73.24958,180.0,top
R14,149.032619,-83.74958,90.0,top
R15,146.872619,-83.74958,270.0,top
R16,146.872619,-71.74958,180.0,top
R17,168.802619,-71.74958,180.0,top
R18,171.032619,-83.74958,270.0,top
R19,168.802619,-83.74958,270.0,top
R2,102.794316,-83.74958,270.0,top
R20,168.802619,-73.24958,0.0,top
R21,120.532619,-110.74958,0.0,top
R22,125.032619,-110.74958,180.0,top
R3,124.794316,-71.74958,180.0,top
R4,124.794316,-83.74958,270.0,top
R5,145.532619,-110.58958,90.0,top
R6,111.532619,-110.74958,0.0,top
R7,102.794316,-73.24958,180.0,top
R8,105.032619,-83.74958,90.0,top
R9,124.794316,-73.24958,0.0,top
U1,111.532619,-89.74958,270.0,top
U2,133.532619,-89.74958,270.0,top
U3,155.532619,-89.74958,270.0,top
U4,177.532619,-89.74958,270.0,top
U5,111.532619,-104.24958,90.0,top
U6,116.032619,-104.24958,90.0,top
U7,120.532619,-104.24958,90.0,top
U8,125.070324,-104.245396,90.0,top
