Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10uF,
"C10, C11",CP_Radial_D8.0mm_P3.50mm,2,220uF,
"C2, C5, C6, C7, C9",0805,5,0.1uF,
C4,CP_Radial_D10.0mm_P5.00mm,1,470uF,
C8,0805,1,0.47uF,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
"D3, D4",0603,2,LED,
J1,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,XT60_Female_Horizontal,
"J3, J4",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,2,XH_01x02_Vertical,
J5,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60_Male_Horizontal,
J6,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin_Signal,
LDO1,TO-252-2,1,NJM7805,
"Q1, Q2, Q3, Q4",TO-220-3_Horizontal_TabUp,4,TK7R4A10PL_TabUp,
"R1, R2, R3, R4",0603,4,R47k,
"R10, R7, R8, R9",0603,4,4.7,
"R11, R6",0603,2,910,
"R12, R5",0603,2,R3k,
"U1, U2",SOP-8_3.9x4.9mm_P1.27mm,2,IR2302,
"U5, U6",SO-6L_10x3.84mm_P1.27mm,2,TLP2745,
