Designator,Mid X,Mid Y,Rotation,Layer
C1,124.0,-116.842802,270.0,top
C10,142.5,-141.055302,270.0,top
C11,156.0,-140.902651,270.0,top
C2,110.0,-140.305302,180.0,top
C3,124.0,-135.767802,270.0,top
C4,169.5,-141.0,270.0,top
C5,110.0,-126.805302,180.0,top
C6,110.0,-145.305302,180.0,top
C7,109.0,-110.305302,180.0,top
C8,105.0,-101.342802,270.0,top
C9,110.0,-121.805302,180.0,top
D1,118.5,-110.805302,180.0,top
D2,118.5,-129.440302,180.0,top
D3,97.125,-102.5,180.0,top
D4,104.8,-112.0,0.0,top
J1,163.25,-102.330302,0.0,top
J3,95.445,-143.0,270.0,top
J4,95.445,-109.75,270.0,top
J5,138.75,-102.330302,0.0,top
J6,95.445,-124.0,270.0,top
LDO1,113.24,-102.805302,0.0,top
Q1,143.705,-116.765302,90.0,top
Q2,167.705,-116.765302,90.0,top
Q3,143.705,-128.765302,90.0,top
Q4,167.705,-128.765302,90.0,top
R1,124.0,-123.717802,90.0,top
R10,128.5,-135.767802,270.0,top
R11,102.5875,-129.0,180.0,top
R12,100.5875,-112.0,0.0,top
R2,126.5,-113.805302,180.0,top
R3,124.0,-142.305302,90.0,top
R4,126.5,-132.305302,180.0,top
R5,101.625,-102.5,180.0,top
R6,102.5875,-123.0,0.0,top
R7,117.5,-123.717802,270.0,top
R8,128.5,-116.842802,90.0,top
R9,117.5,-142.305302,90.0,top
U1,117.375,-117.710302,270.0,top
U2,117.5,-136.305302,270.0,top
U5,106.5,-117.0,0.0,top
U6,106.672169,-135.710581,0.0,top
