Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8, C9",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,3,1u,
"C10, C3",CP_Radial_D5.0mm_P2.00mm,2,100u,
"C2, C4, C5, C6, C7",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,5,0.1u,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
D2,0603,1,LED_RED,
D3,0603,1,LED_BLU,
J1,PinHeader_1x01_P2.54mm_Vertical,1,NULL,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Stylus,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Spare,
J4,Jack_3.5mm_Switronic_ST-005-G_horizontal,1,AudioPlug3,
J5,BarrelJack_Horizontal,1,Barrel_Jack,
LS1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Speaker,
Q1,TO-92_Inline,1,2N3904,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
"R10, R11",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k8,
"R12, R36, R37",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,2k,
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,200,
R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2k2,
"R15, R16",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,2k4,
"R17, R18",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,2k7,
"R19, R20",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,3k,
"R2, R21",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,3k3,
R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3k6,
"R23, R24",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,3k9,
"R25, R26",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4k3,
"R27, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4k7,
"R28, R31",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,68k,
R29,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10M,
R30,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,58k,
R32,0603,1,680,
R33,0603,1,220,
R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10R,
R35,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100,
"R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,12k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,560,
"R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1k5,
RV1_TONE1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,4k7,
RV2_VOL1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,10k,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,Vibrato,
SW2,PinHeader_1x03_P2.54mm_Vertical,1,POWER,
U1,DIP-8_W7.62mm_Socket,1,NE555P,
U2,DIP-8_W7.62mm_Socket,1,LM386,
